2025-11-26 20:53:23 | INFO | logger | TEST_END | Completed SCAN Module against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"exit_code":0},"duration":4.051088809967041,"end_time":1764172403.0169303}
2025-11-26 20:53:23 | INFO | logger | TEST_START | Starting STRESS Module against http://127.0.0.1 | Data: {"target":"http://127.0.0.1","config":{"args":["http://127.0.0.1","-c","10","-d","15","-o","comprehensive_scan_20251126_205318\\stress_test_results.json"]},"start_time":1764172403.0345523}
2025-11-26 20:55:20 | INFO | logger | ERROR | STRESS module interrupted
2025-11-26 20:55:20 | INFO | logger | TEST_START | Starting REPORT Module against --generate-report | Data: {"target":"--generate-report","config":{"args":["--generate-report","txt","-o","comprehensive_scan_20251126_205318\\comprehensive_report.txt"]},"start_time":1764172520.0225642}
2025-11-26 20:55:20 | INFO | logger | TEST_END | Completed REPORT Module against --generate-report | Data: {"target":"--generate-report","results":{"exit_code":1},"duration":0.6321835517883301,"end_time":1764172520.6685479}
2025-11-26 20:55:20 | INFO | logger | ERROR | REPORT module failed | Data: {"exit_code":1,"args":["--generate-report","txt","-o","comprehensive_scan_20251126_205318\\comprehensive_report.txt"]}
2025-11-26 20:55:20 | INFO | logger | TEST_END | Completed Comprehensive Security Scan against 127.0.0.1 | Data: {"target":"127.0.0.1","results":{"port_scan":{"exit_code":0,"completed":true},"stress_test":{"exit_code":1,"completed":false},"report":{"exit_code":1,"completed":false}},"duration":121.74969506263733,"end_time":1764172520.696498}
2025-11-26 20:55:29 | INFO | logger | TEST_START | Starting FOOTPRINT Module against --directories | Data: {"target":"--directories","config":{"args":["--directories","127.0.0.1"]},"start_time":1764172529.8910062}
2025-11-26 20:56:10 | INFO | logger | TEST_END | Completed FOOTPRINT Module against --directories | Data: {"target":"--directories","results":{"exit_code":0},"duration":41.008586168289185,"end_time":1764172570.9120014}
2025-11-26 20:56:18 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","10"]},"start_time":1764172578.6168768}
2025-11-26 20:57:39 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764172659.26341}
2025-11-26 21:01:51 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764172911.3716311}
2025-11-26 21:01:52 | INFO | logger | TEST_END | Completed PCAP Module against -c | Data: {"target":"-c","results":{"exit_code":1},"duration":1.3027288913726807,"end_time":1764172912.6869535}
2025-11-26 21:01:52 | INFO | logger | ERROR | PCAP module failed | Data: {"exit_code":1,"args":["-c","5"]}
2025-11-26 21:02:11 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764172931.1460137}
2025-11-26 21:02:12 | INFO | logger | TEST_END | Completed PCAP Module against -c | Data: {"target":"-c","results":{"exit_code":1},"duration":1.3171758651733398,"end_time":1764172932.47868}
2025-11-26 21:02:12 | INFO | logger | ERROR | PCAP module failed | Data: {"exit_code":1,"args":["-c","5"]}
2025-11-26 21:03:25 | INFO | logger | TEST_START | Starting PCAP Module against -c | Data: {"target":"-c","config":{"args":["-c","5"]},"start_time":1764173005.439538}
